code,code_nm,market,risk_prob,risk_grade,std_date
A010470,오리콤,KOSDAQ,0.9992627423245812,8,2022-09-09
A019770,서연탑메탈,KOSDAQ,0.9988887720208508,8,2022-09-09
A208140,정다운,KOSDAQ,0.9950702351382071,8,2022-09-09
A040350,큐로컴,KOSDAQ,0.9855681273613726,8,2022-09-09
A290740,액트로,KOSDAQ,0.9850361511191567,8,2022-09-09
A227610,아우딘퓨쳐스,KOSDAQ,0.9836778096771657,8,2022-09-09
A037070,파세코,KOSDAQ,0.9713842859112399,8,2022-09-09
A279600,미디어젠,KOSDAQ,0.9708118529279507,8,2022-09-09
A042110,에스씨디,KOSDAQ,0.9659387694345183,8,2022-09-09
A265560,영화테크,KOSDAQ,0.956333735293213,8,2022-09-09
A101240,씨큐브,KOSDAQ,0.9559459717023776,8,2022-09-09
A264660,씨앤지하이테크,KOSDAQ,0.9550984771917336,8,2022-09-09
A217820,엔에스,KOSDAQ,0.9418853644442847,8,2022-09-09
A306040,에스제이그룹,KOSDAQ,0.941398802658001,8,2022-09-09
A171120,라이온켐텍,KOSDAQ,0.9345689309389046,8,2022-09-09
A050110,캠시스,KOSDAQ,0.9194185690422294,8,2022-09-09
A290690,소룩스,KOSDAQ,0.9192926157934161,8,2022-09-09
A237880,클리오,KOSDAQ,0.9122091616530726,8,2022-09-09
A226340,본느,KOSDAQ,0.9095592362760799,8,2022-09-09
A065440,이루온,KOSDAQ,0.9004196368339933,8,2022-09-09
A331380,포커스에이치엔에스,KOSDAQ,0.8976710530052047,8,2022-09-09
A078860,아이오케이,KOSDAQ,0.8967354603543596,8,2022-09-09
A303030,지니틱스,KOSDAQ,0.8943997287169171,8,2022-09-09
A021880,메이슨캐피탈,KOSDAQ,0.8895364240250931,8,2022-09-09
A051490,나라엠앤디,KOSDAQ,0.8869119582508588,8,2022-09-09
A065060,지엔코,KOSDAQ,0.8850341484314072,8,2022-09-09
A016600,큐캐피탈,KOSDAQ,0.8838098105454317,8,2022-09-09
A306620,네온테크,KOSDAQ,0.8833688201646173,8,2022-09-09
A226400,오스테오닉,KOSDAQ,0.883229259106469,8,2022-09-09
A025320,시노펙스,KOSDAQ,0.8829892905522166,8,2022-09-09
A173130,오파스넷,KOSDAQ,0.869407643787845,8,2022-09-09
A032190,다우데이타,KOSDAQ,0.8687060149758633,8,2022-09-09
A065650,메디프론,KOSDAQ,0.8655398850697112,8,2022-09-09
A234100,폴라리스세원,KOSDAQ,0.859273855484833,8,2022-09-09
A084180,EV수성,KOSDAQ,0.8543619259031088,8,2022-09-09
A277880,티에스아이,KOSDAQ,0.8501701799753761,8,2022-09-09
A199820,제일전기공업,KOSDAQ,0.8487057534698282,8,2022-09-09
