code,code_nm,market,risk_prob,risk_grade,std_date
A001040,CJ,KOSPI,0.9627264060802988,8,2022-09-09
A015590,큐로,KOSPI,0.9612266935354185,8,2022-09-09
A100840,SNT에너지,KOSPI,0.9525168076697675,8,2022-09-09
A085310,엔케이,KOSPI,0.9517876138061634,8,2022-09-09
A001800,오리온홀딩스,KOSPI,0.9462051450358951,8,2022-09-09
A018670,SK가스,KOSPI,0.9460929643143258,8,2022-09-09
A011810,STX,KOSPI,0.9309941974758281,8,2022-09-09
A005440,현대그린푸드,KOSPI,0.926989406098147,8,2022-09-09
A033920,무학,KOSPI,0.9166961468482808,8,2022-09-09
A012630,HDC,KOSPI,0.9108265248408346,8,2022-09-09
A136490,선진,KOSPI,0.8893296414584845,8,2022-09-09
A026890,스틱인베스트먼트,KOSPI,0.8555495527238796,8,2022-09-09
A044450,KSS해운,KOSPI,0.8402652103360212,8,2022-09-09
A009470,삼화전기,KOSPI,0.8353513892310404,8,2022-09-09
A010600,웰바이오텍,KOSPI,0.8270203514110089,8,2022-09-09
A012320,경동인베스트,KOSPI,0.8191468412025048,8,2022-09-09
A015360,예스코홀딩스,KOSPI,0.8176835474126237,8,2022-09-09
A284740,쿠쿠홈시스,KOSPI,0.8015606896292565,8,2022-09-09
A013000,세우글로벌,KOSPI,0.7999393309842799,8,2022-09-09
A123690,한국화장품,KOSPI,0.7999335138729103,8,2022-09-09
A003280,흥아해운,KOSPI,0.7927964212038076,8,2022-09-09
A139990,아주스틸,KOSPI,0.7927964206269754,8,2022-09-09
A025620,제이준코스메틱,KOSPI,0.7917654810764388,8,2022-09-09
A072710,농심홀딩스,KOSPI,0.7917643822095376,8,2022-09-09
A002630,오리엔트바이오,KOSPI,0.789512873382703,8,2022-09-09
A372910,한컴라이프케어,KOSPI,0.7856535257526555,8,2022-09-09
A323410,카카오뱅크,KOSPI,0.7855949726789256,8,2022-09-09
A137310,에스디바이오센서,KOSPI,0.7826194785027072,8,2022-09-09
A000320,노루홀딩스,KOSPI,0.7783770768992329,8,2022-09-09
A267850,아시아나IDT,KOSPI,0.7754819481212333,8,2022-09-09
A001070,대한방직,KOSPI,0.7736240300853081,8,2022-09-09
A071970,STX중공업,KOSPI,0.7703062962478172,8,2022-09-09
A271940,일진하이솔루스,KOSPI,0.764225039808783,8,2022-09-09
A089860,롯데렌탈,KOSPI,0.764225038860109,8,2022-09-09
A004710,한솔테크닉스,KOSPI,0.763864698223247,8,2022-09-09
A271560,오리온,KOSPI,0.752865495424775,8,2022-09-09
A001340,백광산업,KOSPI,0.7445916619896431,8,2022-09-09
A092200,디아이씨,KOSPI,0.7404917864353237,8,2022-09-09
A000230,일동홀딩스,KOSPI,0.7332712716513284,8,2022-09-09
A004970,신라교역,KOSPI,0.73239341241932,8,2022-09-09
